M,N,K,dtype,device,gpu_name,latency_us,kernel_name
16,128,114,f16,4,NVIDIA GeForce RTX 4090,5.632,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
16,128,128,f16,4,NVIDIA GeForce RTX 4090,5.5808,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,144,f16,4,NVIDIA GeForce RTX 4090,7.936,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,160,f16,4,NVIDIA GeForce RTX 4090,5.7856,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,161,f16,4,NVIDIA GeForce RTX 4090,8.3936,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,181,f16,4,NVIDIA GeForce RTX 4090,8.3456,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,192,f16,4,NVIDIA GeForce RTX 4090,5.9904,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,203,f16,4,NVIDIA GeForce RTX 4090,8.2944,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,224,f16,4,NVIDIA GeForce RTX 4090,5.5872,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,228,f16,4,NVIDIA GeForce RTX 4090,5.8368,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
16,128,256,f16,4,NVIDIA GeForce RTX 4090,5.8368,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,287,f16,4,NVIDIA GeForce RTX 4090,8.6016,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,320,f16,4,NVIDIA GeForce RTX 4090,6.8096,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,323,f16,4,NVIDIA GeForce RTX 4090,8.2944,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,362,f16,4,NVIDIA GeForce RTX 4090,5.7856,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
16,128,384,f16,4,NVIDIA GeForce RTX 4090,5.5808,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,406,f16,4,NVIDIA GeForce RTX 4090,5.5808,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
16,128,456,f16,4,NVIDIA GeForce RTX 4090,5.8368,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,512,f16,4,NVIDIA GeForce RTX 4090,5.9904,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,575,f16,4,NVIDIA GeForce RTX 4090,8.3456,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,645,f16,4,NVIDIA GeForce RTX 4090,8.448,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,724,f16,4,NVIDIA GeForce RTX 4090,8.5504,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align2>(T1::Params)
16,128,768,f16,4,NVIDIA GeForce RTX 4090,5.8368,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,813,f16,4,NVIDIA GeForce RTX 4090,8.3456,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,912,f16,4,NVIDIA GeForce RTX 4090,5.8368,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
16,128,1024,f16,4,NVIDIA GeForce RTX 4090,8.5504,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x1_nn_align8>(T1::Params)
16,128,1149,f16,4,NVIDIA GeForce RTX 4090,8.5504,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,1290,f16,4,NVIDIA GeForce RTX 4090,8.496,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
16,128,1448,f16,4,NVIDIA GeForce RTX 4090,8.3968,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align8>(T1::Params)
16,128,1536,f16,4,NVIDIA GeForce RTX 4090,8.6016,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align8>(T1::Params)
16,128,1625,f16,4,NVIDIA GeForce RTX 4090,8.8064,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,1825,f16,4,NVIDIA GeForce RTX 4090,8.4464,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
16,128,2048,f16,4,NVIDIA GeForce RTX 4090,8.6016,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
